MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
15079218,2015,Aug,13,Fire,ELEC - Electrical Fire,B3,AFD,00-2302,3F,Code 3,1,"(30354824, 97673452)"
15079240,2015,Aug,13,Fire,AUTO - Auto Fire,B5,AFD,00-0701,2F,Code 3,1,"(30269226, 97729356)"
15079246,2015,Aug,14,Fire,ELEC - Electrical Fire,B2,AFD,00-2101,3F,Code 3,10,"(30355054, 97752137)"
15079293,2015,Aug,14,Fire,GRASS - Small Grass Fire,B2,AFD,00-3802,3F,Code 3,6,"(30457013, 97821506)"
15079369,2015,Aug,14,Fire,ELEC - Electrical Fire,B5,AFD,00-1504,3F,Code 3,1,"(30276339, 97703765)"
15079418,2015,Aug,14,Fire,DUMP - Dumpster Fire,B2,AFD,00-2104,3F,Code 3,10,"(30369478, 97744635)"
15079450,2015,Aug,14,Fire,GRASS - Small Grass Fire,B4,AFD,00-17SV,3F,Code 3,,"(30228292, 97809427)"
15079469,2015,Aug,14,Fire,ELEC - Electrical Fire,B4,AFD,00-4302,3F,Code 3,8,"(30187479, 97899119)"
15079486,2015,Aug,14,Fire,TRASH - Trash Fire,B4,AFD,00-3610,3F,Code 3,5,"(30167032, 97784984)"
15079508,2015,Aug,14,Fire,AUTO - Auto Fire,B2,AFD,00-4505,2F,Code 3,6,"(30503738, 97763990)"
15079641,2015,Aug,14,Fire,GRASS - Small Grass Fire,B4,AFD,00-4305,3F,Code 3,8,"(30200548, 97865434)"
15079647,2015,Aug,14,Fire,AUTO - Auto Fire,B4,AFD,00-2901,2F,Code 3,8,"(30207668, 97860461)"
15054019,2015,Jun,1,Fire,DUMP - Dumpster Fire,B2,AFD,00-2501,3F,Code 3,6,"(30415636, 97743355)"
15079784,2015,Aug,15,Fire,ELEC - Electrical Fire,B3,AFD,00-0805,3F,Code 1,7,"(30366449, 97728070)"
15079803,2015,Aug,15,Fire,GRASS - Small Grass Fire,B2,AFD,00-2101,3F,Code 3,10,"(30353592, 97747578)"
15079805,2015,Aug,15,Fire,GRASS - Small Grass Fire,B2,AFD,00-2104,3F,Code 3,10,"(30368678, 97741656)"
15079844,2015,Aug,15,Fire,ELEC - Electrical Fire,B2,AFD,00-3403,3F,Code 3,6,"(30469544, 97802761)"
15079847,2015,Aug,15,Fire,ELEC - Electrical Fire,B4,AFD,00-2705,3F,Code 3,8,"(30200335, 97875369)"
15079853,2015,Aug,15,Fire,GRASS - Small Grass Fire,B3,AFD,00-0807,3F,Code 3,10,"(30382036, 97741304)"
15079894,2015,Aug,15,Fire,ELEC - Electrical Fire,B3,AFD,00-3001,3F,Code 3,4,"(30366128, 97695285)"
15079959,2015,Aug,15,Fire,GRASS - Small Grass Fire,B5,AFD,00-3501,3F,Code 3,2,"(30205573, 97716601)"
15080003,2015,Aug,15,Fire,BBQ - Unsafe Cooking,B3,AFD,00-1804,4F,Code 1,4,"(30325781, 97695006)"
15080008,2015,Aug,15,Fire,ELEC - Electrical Fire,B4,AFD,00-2005,3F,Code 3,2,"(30204101, 97789980)"
15080045,2015,Aug,15,Fire,AUTO - Auto Fire,B5,AFD,00-3504,2F,Code 3,2,"(30213031, 97689653)"
