MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
17063734,2017,Jun,30,Fire,ELEC - Electrical Fire,B4,AFD,00-2402,3F,Code 3,2,"(30194405, 97736333)"
17063797,2017,Jun,30,Fire,AUTO - Auto Fire,B7,AFD,00-2304,2F,Code 3,4,"(30338413, 97692509)"
17083079,2017,Aug,25,Fire,ELEC - Electrical Fire,B3,AFD,00-0801,3F,Code 3,4,"(30370409, 97719776)"
17063865,2017,Jun,30,Fire,TRASH - Trash Fire,B4,AFD,00-2005,3F,Code 1,2,"(30204177, 97789940)"
17063873,2017,Jun,30,Fire,AUTO - Auto Fire,B8,AFD,00-3601,2F,Left Blank,2,"(30167143, 97787464)"
17083106,2017,Aug,25,Fire,TRASH - Trash Fire,B7,AFD,00-1803,3F,Code 3,4,"(30314699, 97697420)"
17063886,2017,Jun,30,Fire,ELEC - Electrical Fire,B8,AFD,00-4301,3F,Code 1,8,"(30192473, 97874792)"
17063908,2017,Jun,30,Fire,ELEC - Electrical Fire,B7,AFD,00-4001,3F,Code 3,7,"(30414882, 97667084)"
17083248,2017,Aug,26,Fire,ELEC - Electrical Fire,B7,AFD,00-0901,3F,Code 3,9,"(30300536, 97733560)"
17083289,2017,Aug,26,Fire,ELEC - Electrical Fire,B5,AFD,00-1501,3F,Code 3,3,"(30256720, 97682353)"
17064078,2017,Jul,1,Fire,TRASH - Trash Fire,B5,AFD,00-0502,3F,Code 1,1,"(30279682, 97693124)"
17064115,2017,Jul,1,Fire,AUTO - Auto Fire,B4,AFD,00-3502,2F,Code 3,3,"(30218648, 97749809)"
17064123,2017,Jul,1,Fire,ELEC - Electrical Fire,B3,AFD,00-2806,3F,Code 3,7,"(30422342, 97708230)"
17064151,2017,Jul,1,Fire,TRASH - Trash Fire,B3,AFD,00-2801,3F,Code 3,7,"(30409437, 97677968)"
17083654,2017,Aug,26,Fire,ELEC - Electrical Fire,B7,AFD,00-1802,3F,Code 1,1,"(30304653, 97686933)"
17083656,2017,Aug,26,Fire,ELEC - Electrical Fire,B3,AFD,00-2104,3F,Code 3,10,"(30366901, 97745087)"
17064184,2017,Jul,1,Fire,GRASS - Small Grass Fire,B4,AFD,00-2206,3F,Code 3,3,"(30214223, 97704902)"
17083849,2017,Aug,26,Fire,TRASH - Trash Fire,B7,AFD,00-0901,3F,Code 1,9,"(30306629, 97733226)"
17083875,2017,Aug,26,Fire,TRASH - Trash Fire,B8,AFD,00-3703,3F,Code 3,8,"(30245233, 97889783)"
